id,campaign_id,donor_name,donor_email,amount,frequency,fund_designation,is_anonymous,payment_method,notes,created_at,updated_at
881e9fc5-194a-4229-a5e5-4d49bda9d475,28d3f013-4df5-42b1-8fe1-cfadb2015078,Faith Johnson,faith.johnson@email.com,50,Monthly,General Operating,f,ACH,,2026-05-24 21:01:53.063889+00,2026-05-24 21:01:53.063889+00
0c7fb096-1bbb-4645-a1b4-aa3190a94c85,28d3f013-4df5-42b1-8fe1-cfadb2015078,Cynthia Brooks,cynthia.brooks@email.com,250,Monthly,General Operating,f,Credit Card,,2026-05-24 21:01:53.063889+00,2026-05-24 21:01:53.063889+00
f933618e-4d2c-4416-a223-78e3369cc269,28d3f013-4df5-42b1-8fe1-cfadb2015078,Sandra Mitchell,sandra.mitchell@email.com,100,Monthly,General Operating,f,ACH,,2026-05-24 21:01:53.063889+00,2026-05-24 21:01:53.063889+00
002f41b1-0fe6-41f4-ae59-c1c2273d6fbe,28d3f013-4df5-42b1-8fe1-cfadb2015078,Anonymous Donor,,2500,One-Time,General Operating,t,Credit Card,,2026-05-24 21:01:53.063889+00,2026-05-24 21:01:53.063889+00
06f8565f-a21d-4571-b585-5dd4e3e09d71,28d3f013-4df5-42b1-8fe1-cfadb2015078,James Rivera,james.rivera@brightsidefoundation.org,10000,Annual,General Operating,f,Check,Rivera Family Foundation gift,2026-05-24 21:01:53.063889+00,2026-05-24 21:01:53.063889+00
389a60d3-bb2f-48ad-87b9-da9f400251c0,28d3f013-4df5-42b1-8fe1-cfadb2015078,Margaret Chen,margaret.chen@brightsidefoundation.org,5000,Annual,General Operating,f,Credit Card,Board pledge - annual commitment,2026-05-24 21:01:53.063889+00,2026-05-24 21:01:53.063889+00
8ba459b9-5a46-4e59-8d1a-3da509bda93d,d8472554-f3fb-457c-a3a1-c355faf2e9ab,Anonymous Donor,,2500,One-Time,Youth Programs,t,Credit Card,,2026-05-24 21:01:53.063889+00,2026-05-24 21:01:53.063889+00
a08e1a5a-d56b-485f-bb3e-e9b7298d0689,d8472554-f3fb-457c-a3a1-c355faf2e9ab,Amara Diallo,amara.diallo@email.com,500,One-Time,Youth Programs,f,PayPal,,2026-05-24 21:01:53.063889+00,2026-05-24 21:01:53.063889+00
b792b70e-b48d-4b12-8538-9afa0f1a2e6d,d8472554-f3fb-457c-a3a1-c355faf2e9ab,David Okafor,david.okafor@email.com,1000,Quarterly,Youth Programs,f,Credit Card,,2026-05-24 21:01:53.063889+00,2026-05-24 21:01:53.063889+00
95039d75-79f7-4106-a851-dfb99a0464ff,d8472554-f3fb-457c-a3a1-c355faf2e9ab,Elena Vasquez,elena.vasquez@brightsidefoundation.org,15000,One-Time,Youth Programs,f,Check,Restricted to tutoring program expansion,2026-05-24 21:01:53.063889+00,2026-05-24 21:01:53.063889+00
9911b410-44b7-4c3a-9666-1ad1a4bc249f,9821089e-bfb1-40c1-b098-52c6f1db8272,Anonymous Donor,,750,One-Time,Health Initiative,t,Credit Card,,2026-05-24 21:01:53.063889+00,2026-05-24 21:01:53.063889+00
65cb35d2-8802-4acf-81d5-44faf6a51bbb,9821089e-bfb1-40c1-b098-52c6f1db8272,Marcus Williams,marcus.williams@startup.io,250,Quarterly,Health Initiative,f,ACH,,2026-05-24 21:01:53.063889+00,2026-05-24 21:01:53.063889+00
b06e4607-2734-482c-8176-8ce3592fdf77,9821089e-bfb1-40c1-b098-52c6f1db8272,Patricia Nguyen,patricia.nguyen@email.com,1500,One-Time,Health Initiative,f,Credit Card,In honor of her late mother,2026-05-24 21:01:53.063889+00,2026-05-24 21:01:53.063889+00
4ea48d0c-8e5a-4cc6-8328-b4fb6b9b9e49,93e238c0-1d26-4f20-8baf-f44d4782c75f,Liam Nguyen,liam.nguyen@email.com,100,Monthly,Technology Fund,f,Credit Card,,2026-05-24 21:01:53.063889+00,2026-05-24 21:01:53.063889+00
adc84767-1196-44ba-a376-e57f529f757e,93e238c0-1d26-4f20-8baf-f44d4782c75f,Kevin Park,kevin.park@email.com,500,One-Time,Technology Fund,f,PayPal,Employee matching eligible,2026-05-24 21:01:53.063889+00,2026-05-24 21:01:53.063889+00
7a258763-251e-4889-8c8c-396fdd13eeb2,80f61bfc-83c0-41a3-8e5c-7b20dcbc99d8,Sarah Mitchell,,2500,Annual,General Operating,f,Credit Card,,2026-06-14 12:00:00+00,2026-06-15 17:02:06.100904+00
480ad7a9-c7a8-4d12-841e-9a1b035e89cd,80f61bfc-83c0-41a3-8e5c-7b20dcbc99d8,Robert Kim,,500,Monthly,General Operating,f,ACH,,2026-06-14 12:00:00+00,2026-06-15 17:02:06.100904+00
eac7653c-e636-4f18-8b65-ce914bf5178c,3b7cffbc-6b0d-4282-8e2a-e33c7ec28ea6,Anonymous,,1000,One-Time,Youth Programs,t,Credit Card,,2026-06-13 12:00:00+00,2026-06-15 17:02:06.100904+00
7fc85a8d-52b2-443d-8e30-2f0ef65b56be,3b7cffbc-6b0d-4282-8e2a-e33c7ec28ea6,Patricia Lee,,5000,Annual,Youth Programs,f,Check,,2026-06-12 12:00:00+00,2026-06-15 17:02:06.100904+00
