id,created_by,name,email,phone,skills,availability,total_hours,joined_date,is_also_donor,donor_total_giving,created_at,updated_at
749f232a-a31d-43f0-a818-0a96a4599aec,,Amara Diallo,amara.diallo@email.com,(646) 555-0201,"{""Event Coordination"",Marketing,""Social Media""}","{Weekends,Evenings}",124.5,2022-03-10,t,2500.00,2026-05-24 21:00:59.68601+00,2026-05-24 21:00:59.68601+00
a20f7ef4-7d77-439a-8c90-3c396f670531,,Kevin Park,kevin.park@email.com,(646) 555-0202,"{""IT Support"",""Database Management"",Training}","{Weekdays,Flexible}",87.0,2023-01-15,f,,2026-05-24 21:00:59.68601+00,2026-05-24 21:00:59.68601+00
0116b28a-6404-47b6-a353-e4c4ea38dd63,,Sandra Mitchell,sandra.mitchell@email.com,(646) 555-0203,"{Teaching,Tutoring,""Curriculum Design""}","{""Weekday Mornings"",Weekends}",210.0,2021-09-01,t,5000.00,2026-05-24 21:00:59.68601+00,2026-05-24 21:00:59.68601+00
4a407023-50db-42be-99a8-55bd3bfd5853,,Raj Patel,raj.patel@email.com,(646) 555-0204,"{Accounting,Finance,Bookkeeping}",{Saturdays},45.5,2024-01-20,f,,2026-05-24 21:00:59.68601+00,2026-05-24 21:00:59.68601+00
84c5c3d1-5421-44ec-9433-de7e57d53b92,,Cynthia Brooks,cynthia.brooks@email.com,(646) 555-0205,"{Fundraising,""Grant Writing"",""Donor Relations""}",{Flexible},163.0,2022-06-05,t,8750.00,2026-05-24 21:00:59.68601+00,2026-05-24 21:00:59.68601+00
f537dde6-1396-4f23-aaa5-32bc1335cdeb,,Daniel Torres,daniel.torres@email.com,(646) 555-0206,"{Photography,""Video Production"",Design}","{Weekends,Evenings}",58.0,2023-11-01,f,,2026-05-24 21:00:59.68601+00,2026-05-24 21:00:59.68601+00
28382bd1-2ab3-49a1-bb2f-1e9267a822f4,,Faith Johnson,faith.johnson@email.com,(646) 555-0207,"{""Food Service"",Logistics,Operations}","{""Weekday Mornings"",Saturdays}",312.5,2020-04-15,t,1200.00,2026-05-24 21:00:59.68601+00,2026-05-24 21:00:59.68601+00
c6acce98-1e80-4751-9618-f1bdc53cb9ab,,Liam Nguyen,liam.nguyen@email.com,(646) 555-0208,"{""Social Media"",""Content Writing"",Communications}","{Evenings,Flexible}",33.0,2024-03-01,f,,2026-05-24 21:00:59.68601+00,2026-05-24 21:00:59.68601+00
8bef06fd-cd96-4ce9-8bab-23332204b6f0,7c82547b-708e-42bb-bd07-56b3994fa160,Angela Torres,angela.torres@email.com,,"{""Youth Mentoring"",Administrative}","{""Weekday Afternoons"",Weekends}",312,2024-06-25,t,4800,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
cebbdf24-0cdf-47dc-8f42-6f2ac1f466ce,7c82547b-708e-42bb-bd07-56b3994fa160,Marcus Webb,marcus.webb@email.com,,"{""Event Setup"",Fundraising,Photography}","{Weekends,Flexible}",185,2024-12-22,f,,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
